DRS,GVE,Região de Saúde, município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,TOTAL
8,XVIII,35081,3523701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,XXVI,35143,3523800,1,4,4,4,6,6,6,9,20,34,46,57,61,66,66,68,69,71,71
16,XXXI,35163,3523909,0,1,1,4,4,6,11,13,13,16,19,20,23,26,31,39,42,44,44
7,XVII,35073,3524006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XVIII,35083,3524105,0,0,0,0,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4
5,XIV,35051,3524204,0,0,0,0,2,2,3,3,3,3,3,3,3,4,4,4,5,7,7
13,XXIV,35131,3524303,8,26,69,109,184,331,486,633,755,918,1060,1119,1149,1183,1224,1249,1282,1305,1305
17,XXVII,35171,3524402,2,3,3,3,6,9,18,23,36,56,71,86,96,107,121,134,135,137,137
15,XXIX,35156,3524501,0,1,1,1,1,3,4,4,4,5,5,5,5,5,5,5,5,5,5
12,XXIII,35121,3524600,0,0,0,1,1,3,4,4,4,4,6,8,14,16,16,17,17,17,17
7,XVII,35072,3524709,0,1,4,4,4,5,7,9,13,14,16,17,17,19,19,19,24,26,26
15,XXX,35153,3524808,4,11,20,41,55,93,126,177,258,371,440,475,515,543,571,606,629,645,645
17,XXVII,35171,3524907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,X,35014,3525003,0,0,1,2,2,2,5,5,5,5,5,6,6,6,6,6,8,8,8
13,XXIV,35132,3525102,1,1,4,6,12,16,22,26,29,31,34,34,36,43,46,48,50,52,52
7,XVII,35073,3525201,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,XV,35064,3525300,0,8,16,20,31,37,53,62,80,88,95,101,105,115,122,134,136,139,139
8,XVIII,35081,3525409,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3
7,XVII,35071,3525508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3
11,XXI,35113,3525607,0,0,0,0,6,9,19,29,33,39,42,48,55,63,69,70,72,72,72
15,XXIX,35156,3525706,1,1,1,2,5,14,18,19,27,40,43,45,47,56,57,57,57,57,57
